Name,Avg_Rating,Avg_Sentiment,Cost,Avg_Review_Length,Avg_Follower_Count,Cluster,PCA1,PCA2,Cluster_Name
Desi Bytes,2.9,-0.01,400,128.3,236.76190476190476,3,-2.3443268230039926,0.6346689297831465,Underperformers
Dine O China,3.37,0.22,850,236.1,135.34939759036143,1,-0.8294634726877275,-0.07619250320027508,Budget Decent
Diners Pavilion,3.32,0.24,1200,349.68,237.20212765957447,2,0.04456557301751333,1.0219845547609683,Premium Engaged
Domino's Pizza,3.0707070707070705,0.04040404040404041,400,95.79797979797979,52.35087719298246,3,-2.525302872584093,-0.7025989714064151,Underperformers
Driven Cafe,3.745,0.6,600,328.08,256.7959183673469,1,0.6293562814587674,0.09249958542288224,Budget Decent
Dunkin' Donuts,3.095,0.06,550,261.47,405.02150537634407,3,-1.1057867474386065,1.8601874484806338,Underperformers
Eat India Company,3.26,0.16,1300,373.7,205.375,2,-0.06742898711261065,1.121346317576838,Premium Engaged
Faasos,3.03,0.1,600,246.01,433.0,3,-1.0469288797325682,1.9621588630933313,Underperformers
Feast - Sheraton Hyderabad Hotel,4.22,0.7,2500,341.46,234.6,2,3.021449388354895,-0.09788619199828055,Premium Engaged
Flechazo,4.66,0.85,1300,279.75,40.411764705882355,0,2.1269572944312367,-2.2127750534246973,Premium Excellence
Frio Bistro,3.61,0.42,1200,403.53,180.30434782608697,2,0.7752542480593024,0.454961914167294,Premium Engaged
GD's,3.96,0.55,500,220.77,178.65934065934067,1,0.15501474359470607,-0.8974623031518469,Budget Decent
Gal Punjab Di,3.61,0.47,800,321.89,181.91011235955057,1,0.24724238934858556,-0.014331938855077473,Budget Decent
Green Bawarchi Restaurant,3.49,0.29,700,84.21,105.45283018867924,1,-1.2646422379786821,-1.0718139503768724,Budget Decent
Hitech Bawarchi Food Zone,3.05,0.0,500,90.4,236.1864406779661,3,-2.2080907848633147,0.36236516049581613,Underperformers
Hotel Zara Hi-Fi,2.4,-0.34,400,132.5,33.054545454545455,3,-3.8898953195913624,0.39351761985012856,Underperformers
Hunger Maggi Point,3.12,0.09,200,159.78,119.85555555555555,3,-2.212800494607448,-0.22732752857352723,Underperformers
Hyderabad Chefs,3.7857142857142856,0.42857142857142855,600,58.44897959183673,58.676923076923075,1,-0.9472925826893539,-1.8762875849681597,Budget Decent
Hyderabadi Daawat,3.83,0.55,600,578.62,567.1875,2,2.0420251196428936,2.776040101312487,Premium Engaged
Hyper Local,3.64,0.42,1000,445.78,170.3372093023256,2,0.7496175790023917,0.5037374109470629,Premium Engaged
Jonathan's Kitchen - Holiday Inn Express & Suites,3.535,0.38,1900,577.43,275.4591836734694,2,2.0059055815588502,1.932326879134949,Premium Engaged
KFC,2.85,-0.02,500,140.24,170.97333333333333,3,-2.4108878019552225,0.40209594039643254,Underperformers
KS Bakers,3.965,0.46,200,254.62,172.01136363636363,1,-0.1873750702581724,-0.747749818069413,Budget Decent
Karachi Bakery,3.8,0.51,500,147.82,198.075,1,-0.29692861707150603,-0.9006048937399626,Budget Decent
Karachi Cafe,3.715,0.53,600,336.23,241.25555555555556,1,0.45651863831474476,0.15713461315747906,Budget Decent
Khaan Saab,3.8,0.5,1100,272.66,216.28735632183907,1,0.6718431602017246,-0.15994616938225897,Budget Decent
Komatose - Holiday Inn Express & Suites,3.69,0.41,1500,342.76,491.79787234042556,2,1.4923051249581827,1.9075234069327278,Premium Engaged
Kritunga Restaurant,3.47,0.28,500,116.03,37.05,1,-1.50720324835773,-1.3269068307086933,Budget Decent
La La Land - Bar & Kitchen,3.19,0.21,1000,356.57,147.42268041237114,3,-0.4750937667828909,0.668360506696527,Underperformers
Labonel,3.915,0.47,1000,385.66,295.37373737373736,2,1.1684203513364544,0.6452514742920675,Premium Engaged
Marsala Food Company,3.46,0.34,700,525.98,178.47191011235955,2,0.41946430885841224,1.0609389158452807,Premium Engaged
Mathura Vilas,2.82,-0.02,500,328.98,89.33333333333333,3,-1.9652118820284434,0.7441805335944186,Underperformers
Mazzo - Marriott Executive Apartments,4.19,0.68,1700,483.22,201.41379310344828,2,2.64593974191794,0.17466248634323325,Premium Engaged
Mohammedia Shawarma,2.99,-0.03,150,91.21,11.984848484848484,3,-3.0644653951224274,-0.8337717526023009,Underperformers
Momos Delight,3.725,0.43,200,155.49,96.625,1,-0.9686888004582328,-1.3161591652182312,Budget Decent
Mustang Terrace Lounge,3.31,0.3,1300,290.02,63.34090909090909,1,-0.28485611415740925,-0.20837862549522956,Budget Decent
NorFest - The Dhaba,4.03,0.69,550,379.61,298.7113402061856,2,1.3096364109860785,0.16204803808661106,Premium Engaged
Olive Garden,3.7676767676767677,0.5353535353535354,700,223.77777777777777,147.65333333333334,1,0.05791322471320231,-0.831961040361699,Budget Decent
Over The Moon Brew Company,4.34,0.8,1200,272.78,73.02083333333333,0,1.6462280533559537,-1.753975239426742,Premium Excellence
Owm Nom Nom,3.29,0.16,900,121.7,81.37878787878788,3,-1.4715745152748174,-0.6735949980711231,Underperformers
Pakwaan Grand,2.71,-0.12,400,168.56,161.16883116883116,3,-2.7681866451529755,0.688385465118631,Underperformers
Paradise,4.7,0.93,800,169.55,9.279069767441861,0,1.4531636643849848,-3.067738288293221,Premium Excellence
Pista House,3.23,0.26,1000,330.05,573.7977528089888,2,0.38394704931928614,2.7728470884597476,Premium Engaged
Pot Pourri,3.32,0.28,900,334.79,128.51190476190476,1,-0.3994221671884173,0.2579392970606232,Budget Decent
PourHouse7,3.86,0.5,1200,513.68,233.38,2,1.6613441446183046,0.8734954293587393,Premium Engaged
Prism Club & Kitchen,4.215,0.69,1200,400.19,182.22448979591837,2,1.930356923398366,-0.40275887635228763,Premium Engaged
Royal Spicy Restaurant,3.74,0.4,700,80.75,21.08450704225352,1,-0.9585321138305454,-1.8938572516199754,Budget Decent
SKYHY,3.37,0.28,1400,253.91,82.45833333333333,1,-0.2580361549057842,-0.25289228967682065,Budget Decent
Sardarji's Chaats & More,3.25,0.25,400,226.21,244.6888888888889,3,-1.1221114926622329,0.44204179310742564,Underperformers
Shah Ghouse Hotel & Restaurant,3.21,0.18,800,257.32,155.82894736842104,3,-1.0092789985650625,0.29472634848522805,Underperformers
Shah Ghouse Spl Shawarma,3.43,0.26,300,185.04,149.63291139240508,1,-1.3235964353387784,-0.42239705407681916,Budget Decent
Shanghai Chef 2,3.06,0.12,800,335.58,223.11363636363637,3,-0.8947197482933429,1.176908827729533,Underperformers
Shree Santosh Dhaba Family Restaurant,2.83,-0.09,500,68.43,8.264705882352942,3,-3.119188342507625,-0.6604362996881901,Underperformers
Squeeze @ The Lime,3.815,0.52,650,260.82,151.40425531914894,1,0.16223604819314782,-0.6925881833893589,Budget Decent
T Grill,3.17,0.11,700,308.36,322.22,3,-0.7943092862601676,1.5045635837730627,Underperformers
Tandoori Food Works,3.27,0.22,500,142.89,294.09589041095893,3,-1.2570250688725852,0.4179565296074964,Underperformers
Tempteys,3.85,0.52,350,213.18,319.0120481927711,1,0.08767727929480368,-0.0688859659569535,Budget Decent
The Chocolate Room,2.83,-0.1,600,205.01,86.18888888888888,3,-2.445599120052348,0.3452654882688815,Underperformers
The Fisherman's Wharf,4.22,0.75,1500,395.91,145.16470588235293,0,2.2393295628241483,-0.6395516163605798,Premium Excellence
The Foodie Monster Kitchen,3.58,0.39,500,224.13,191.2560975609756,1,-0.5210293849577361,-0.29135700413420024,Budget Decent
The Glass Onion,3.83,0.54,1200,444.24,152.09375,2,1.324337216616907,0.12676328983010784,Premium Engaged
The Indi Grill,4.6,0.89,1500,273.03,65.84,0,2.349586336354422,-2.0619284076674016,Premium Excellence
The Lal Street - Bar Exchange,3.45,0.4,1300,340.28,115.6701030927835,1,0.32614434796168373,0.030686814423301453,Budget Decent
The Old Madras Baking Company,3.6161616161616164,0.494949494949495,350,343.26262626262627,302.44565217391306,1,0.20024422816669743,0.5919034393966058,Budget Decent
The Tilt Bar Republic,3.845,0.58,1500,418.35,448.1489361702128,2,2.1616437204156376,1.6250793937096437,Premium Engaged
Tiki Shack,3.48,0.38,1000,356.15,206.10227272727272,2,0.2728361162960812,0.5220468546322216,Premium Engaged
Triptify,3.55,0.35,400,153.31,108.77906976744185,1,-1.1141178511412224,-0.9671505930891638,Budget Decent
Udipi's Upahar,4.03,0.62,500,102.72,184.42105263157896,1,-0.016870498546343465,-1.4904968987579639,Budget Decent
Ulavacharu,3.225,0.19,1400,297.71,286.20454545454544,2,-0.05527145665846812,1.264674891574611,Premium Engaged
Urban Asia - Kitchen & Bar,3.65,0.46,1100,480.29,209.02173913043478,2,1.117841486972253,0.8128863806611181,Premium Engaged
Yum Yum Tree - The Arabian Food Court,3.56,0.32,1200,265.77,131.8452380952381,1,-0.02822165766666231,-0.19006287183006668,Budget Decent
Zega - Sheraton Hyderabad Hotel,4.45,0.86,1750,347.04,351.8414634146341,2,3.147323381622766,0.0016474716158886506,Premium Engaged
Zing's Northeast Kitchen,3.65,0.41,550,495.69,295.03125,2,0.740073990931058,1.2895770146953778,Premium Engaged
eat.fit,3.2,0.17,500,314.7,251.97368421052633,3,-0.9342505870624855,1.0043092814555536,Underperformers
